,Family,genuses
0,None,[]
1,Glaucocystaceae,['Glaucocystis']
2,Cyanidiaceae,['Cyanidium']
3,Galdieriaceae,[]
4,Bangiaceae,"['Bangia', 'Conchocelis', 'Porphyra', 'Porphyrella']"
5,Goniotrichaceae,"['Goniotrichum', 'Lobocolax']"
6,Rhodachlyaceae,[]
7,Ahnfeltiaceae,"['Ahnfeltia', 'Porphyrodiscus']"
8,Pihiellaceae,[]
9,Corallinaceae,"['Amphiroa', 'Archaeolithothamnion', 'Archeolithamnium', 'Arthrocardia', 'Bossiella', 'Calliarthron', 'Chiharaea', 'Choreonema', 'Clathromorphum', 'Corallina', 'Cornicularia', 'Dermatolithon', 'Epilithon', 'Fosliella', 'Goniolithon', 'Haliptylon', 'Heteroderma', 'Hydrolithon', 'Jania', 'Litholepis', 'Lithophyllum', 'Lithoporella', 'Lithothamnium', 'Lithothrix', 'Melobesia', 'Mesophyllum', 'Neogoniolithon', 'Neopolyporolithon', 'Pachyarthron', 'Phymatolithon', 'Pneophyllum', 'Polyporolithon', 'Porolithon', 'Pseudolithophyllum', 'Serraticardia', 'Tenarea', 'Titanophora', 'Yamadaia']"
10,Rhodogorgonaceae,[]
11,Sporolithaceae,[]
12,Hildenbrandiaceae,"['Apophloea', 'Hildenbrandia']"
13,Acrochaetiaceae,"['Acrochaetium', 'Audouinella', 'Kylinia', 'Rhodochorton']"
14,Balbianiaceae,[]
15,Balliaceae,[]
16,Batrachospermaceae,"['Batrachospermum', 'Pseudochantransia', 'Sirodotia']"
17,Lemaneaceae,"['Lemanea', 'Tuomeya']"
18,Colaconemataceae,['Colaconema']
19,Entwisleiaceae,['Entwisleia']
20,Galaxauraceae,"['Actinotrichia', 'Galaxaura', 'Gloiophloea', 'Pseudogloiophloea', 'Pseudoscinaia', 'Scinaia', 'Whidbeyella']"
21,Liagoraceae,"['Cumagloia', 'Dermonema', 'Helminthocladia', 'Helminthora', 'Izziella', 'Liagora', 'Nemalion', 'Trichogloea', 'Trichogloeopsis']"
22,Palmariaceae,"['Halosaccion', 'Palmaria']"
23,Rhodophysemataceae,"['Coriophyllum', 'Rhodophysema']"
24,Rhodothamniellaceae,['Rhodothamniella']
25,Thoreaceae,"['Nemalionopsis', 'Thorea']"
26,Acrosymphytaceae,['Schimmelmannia']
27,Bonnemaisoniaceae,"['Asparagopsis', 'Bonnemaisonia', 'Delisea', 'Falkenbergia', 'Leptophyllis', 'Pleuroblepharidella', 'Pleuroblepharis', 'Ptilonia']"
28,Naccariaceae,"['Atractophora', 'Naccaria']"
29,Ceramiaceae,"['Aglaothamnion', 'Anotrichium', 'Antithamnion', 'Antithamnionella', 'Bornetia', 'Callithamnion', 'Centroceras', 'Ceramium', 'Compsothamnion', 'Corynospora', 'Crouania', 'Griffitsia', 'Gymnothamnion', 'Haloplegma', 'Halurus', 'Hollenbergia', 'Lejolisia', 'Mesothamnion', 'Microcladia', 'Neoptilota', 'Platythamnion', 'Pleonosporium', 'Plumaria', 'Ptilota', 'Ptilothamnion', 'Ptilothamniopsis', 'Rhododictyon', 'Scagelia', 'Scagelonema', 'Seirospora', 'Spermothamnion', 'Sphondylothamnion', 'Spyridia', 'Tiffaniella', 'Trailliella', 'Wrangelia']"
30,Dasyaceae,"['Colacodasya', 'Dasya', 'Dasyopsis', 'Heterosiphonia', 'Pogonophorella', 'Rhodoptilum']"
31,Delesseriaceae,"['Acrosorium', 'Anisocladella', 'Apoglossum', 'Asterocolax', 'Botryoglossum', 'Branchioglossum', 'Calloseris', 'Caloglossa', 'Calonitophyllum', 'Cryptopleura', 'Cumathamnion', 'Delesseria', 'Drachiella', 'Erythroglossum', 'Gonimophyllum', 'Grinnellia', 'Haraldia', 'Holmesia', 'Hymenena', 'Hypoglossum', 'Hypophyllum', 'Laingia', 'Martensia', 'Membranoptera', 'Myriogramme', 'Nienburgia', 'Nitophyllum', 'Pantoneura', 'Phycodrys', 'Platysiphonia', 'Pollexfenia', 'Polyneura', 'Polyneurella', 'Polyneuropsis', 'Radicilingua', 'Schizoseris', 'Sorella', 'Tokidadendron', 'Yendonia', 'Zinovaea']"
32,Rhodomelaceae,"['Acanthophora', 'Amansia', 'Amplisiphonia', 'Ancanthophora', 'Boergegeseniella', 'Bostrychia', 'Brongniartella', 'Bryothamnion', 'Chondria', 'Choreocolax', 'Dawsoniocolax', 'Digenea', 'Dipterosiphonia', 'Erythrocystis', 'Halopitys', 'Harveyella', 'Herposiphonia', 'Janczewskia', 'Jantinella', 'Laurencia', 'Levringiella', 'Lophocladia', 'Lophosiphonia', 'Micropeuce', 'Murrayellopsis', 'Odonthalia', 'Ophiocladus', 'Polysiphonia', 'Pterochondria', 'Pterosiphonia', 'Rhodomela', 'Rytiphloea', 'Veleroa', 'Waldoia', 'Wrightiella']"
33,Gelidiaceae,"['Gelidiocolax', 'Gelidiopsis', 'Gelidium']"
34,Gelidiellaceae,['Gelidiella']
35,Pterocladiaceae,['Pterocladia']
36,Acrotylaceae,"['Acrotylus', 'Amphiplexia', 'Hennedya', 'Ranavalona', 'Reinboldia']"
37,Areschougiaceae,"['Meristiella', 'Reticulobotrys', 'Rhabdonia']"
38,Blinksiaceae,['Blinksia']
39,Calosiphoniaceae,"['Bertholdia', 'Calosiphonia']"
40,Caulacanthaceae,"['Catenella', 'Caulacanthus']"
41,Corynocystaceae,[]
42,Cruoriaceae,"['Cruoria', 'Cruoriella', 'Cruoriopsis', 'Ethelia']"
43,Cubiculosporaceae,[]
44,Cystocloniaceae,"['Calliblepharis', 'Cystoclonium', 'Hypnea', 'Rhodophyllis']"
45,Dicranemataceae,[]
46,Dumontiaceae,"['Abbottia', 'Acrocymphyton', 'Constantinea', 'Cryptosiphonia', 'Dasyphloea', 'Dilsea', 'Dudresnaya', 'Dumontia', 'Farlowia', 'Gibsmithia', 'Hyalosiphonia', 'Leptocladia', 'Neodilsea', 'Pikea', 'Thuretellopsis', 'Weeksia']"
47,Endocladiaceae,"['Endocladia', 'Gloiopeltis']"
48,Furcellariaceae,"['Furcellaria', 'Halarachnion']"
49,Gainiaceae,[]
50,Gigartinaceae,"['Besa', 'Chondrus', 'Gigartina', 'Iridaea', 'Rhodoglossum']"
51,Gloiosiphoniaceae,"['Chondrococcus', 'Gloeophycus', 'Gloiosiphonia', 'Ochtodes', 'Plagiospora', 'Rhizophyllis', 'Rhododiscus', 'Thuretella']"
52,Haemeschariaceae,[]
53,Kallymeniaceae,"['Austrophyllis', 'Beringia', 'Callocolax', 'Callophyllis', 'Cirrulicarpus', 'Crossocarpus', 'Ectophora', 'Erythrophyllum', 'Euthora', 'Glaphrynema', 'Hormophora', 'Kallymenia', 'Kallymeniopsis', 'Meredithia', 'Nereoginkgo', 'Polycoelia', 'Pugetia', 'Rhizopogonia', 'Thamnophyllis']"
54,Mychodeaceae,[]
55,Mychodeophyllaceae,[]
56,Nizymeniaceae,[]
57,Phacelocarpaceae,[]
58,Phyllophoraceae,"['Ceratocolax', 'Erythrodermis', 'Gymnogongrus', 'Ozophora', 'Petrocelis', 'Petroglossum', 'Phyllophora', 'Schottera', 'Stenogramme']"
59,Polyideaceae,"['Polyides', 'Rhodopeltis']"
60,Rhizophyllidaceae,['Contarinia']
61,Rissoellaceae,[]
62,Schmitziellaceae,['Schmitziella']
63,Solieriaceae,"['Agardhiella', 'Eucheuma', 'Gardneriella', 'Meristotheca', 'Neoagardhiella', 'Opuntiella', 'Sarcodiotheca', 'Solieria', 'Turnerella', 'Wurdemannia']"
